date,league,t1,t2,bet_type,bet_line,ROI,fair_odds,odds,House,url,status,telegram,resultado,profit
28 Mai 2025 07:00,VCS,Saigon Secret,Saigon Dino,under,total_barons 1.5,11.63%,1.09,1.22,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 02:00,LCKC,BNK FEARX Youth,KT Rolster Challengers,over,total_towers 11.5,12.50%,2.0,2.25,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 02:00,LCKC,Dplus KIA Challengers,Hanwha Life Esports Challengers,under,total_barons 1.5,13.05%,1.18,1.33,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 02:00,LCKC,Gen.G Global Academy,Nongshim Esports Academy,under,total_barons 1.5,15.20%,1.25,1.44,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 10:00,VCS,GenZ Gaming,SN CyberCore Esports,over,total_dragons 4.5,30.62%,1.45,1.9,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 10:00,VCS,GenZ Gaming,SN CyberCore Esports,over,total_towers 12.5,65.00%,1.33,2.2,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 10:00,VCS,GenZ Gaming,SN CyberCore Esports,over,total_kills 35.5,14.38%,1.6,1.83,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 10:00,VCS,GenZ Gaming,SN CyberCore Esports,over,game_duration 31.5,25.81%,1.45,1.83,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 10:00,VCS,GenZ Gaming,SN CyberCore Esports,over,total_inhibitors 1.5,14.38%,1.6,1.83,BET365,url não disponível,loss,1,1,-1.0
29 Mai 2025 07:00,VCS,Never Give Up,Mila Gaming,under,total_towers 12.5,19.23%,1.44,1.72,BET365,url não disponível,win,1,1,0.72
29 Mai 2025 07:00,VCS,Never Give Up,Mila Gaming,under,game_duration 31.5,10.22%,1.66,1.83,BET365,url não disponível,win,1,1,0.83
29 Mai 2025 07:00,VCS,Never Give Up,Mila Gaming,under,total_inhibitors 1.5,18.53%,1.54,1.83,BET365,url não disponível,loss,1,1,-1.0
30 Mai 2025 09:00,LCP,GAM Esports,MGN Vikings Esports,under,game_duration 32.5,18.41%,1.55,1.83,BET365,url não disponível,loss,1,1,-1.0
30 Mai 2025 09:00,LCP,GAM Esports,MGN Vikings Esports,under,total_barons 1.5,17.65%,1.06,1.25,BET365,url não disponível,loss,1,1,-1.0
4 Jun 2025 10:00,LJL,QT DIG∞,Burning Core Toyama,under,total_kills 34.5,27.89%,1.43,1.83,BET365,url não disponível,win,1,1,0.83
4 Jun 2025 10:00,VCS,Mila Gaming,GenZ Gaming,over,total_kills 35.5,23.53%,1.48,1.83,BET365,url não disponível,win,1,1,0.83
13 Jun 2025 05:00,LCK,Gen.G,Hanwha Life Esports,under,total_inhibitors 1.5,28.65%,1.29,1.66,BET365,url não disponível,loss,1,1,-1.0
13 Jun 2025 05:00,LCK,Gen.G,Hanwha Life Esports,under,total_towers 12.5,16.25%,1.29,1.5,BET365,url não disponível,loss,1,1,-1.0
1 Jun 2025 03:00,LCK,Hanwha Life Esports,BNK FEARX,under,total_inhibitors 1.5,32.67%,1.38,1.83,BET365,url não disponível,win,1,1,0.83
1 Jun 2025 03:00,LCK,Hanwha Life Esports,BNK FEARX,over,total_dragons 4.5,18.13%,1.9,2.25,BET365,url não disponível,loss,1,1,-1.0
31 Mai 2025 06:30,LCP,CTBC Flying Oyster,GAM Esports,under,total_barons 1.5,11.00%,1.08,1.2,BET365,url não disponível,win,1,1,0.2
31 Mai 2025 09:00,LCP,Team Secret Whales,TALON,under,total_inhibitors 1.5,30.59%,1.53,2.0,BET365,url não disponível,loss,1,1,-1.0
31 Mai 2025 09:00,LCP,Team Secret Whales,TALON,under,total_towers 12.5,24.91%,1.26,1.57,BET365,url não disponível,loss,1,1,-1.0
3 Jun 2025 07:00,VCS,SN CyberCore Esports,Never Give Up,over,total_kills 32.5,20.89%,1.51,1.83,BET365,url não disponível,win,1,1,0.83
3 Jun 2025 07:00,VCS,SN CyberCore Esports,Never Give Up,under,total_inhibitors 1.5,15.73%,1.64,1.9,BET365,url não disponível,win,1,1,0.9
31 Mai 2025 09:00,LCP,Team Secret Whales,TALON,under,total_kills 25.5,18.68%,1.54,1.83,BET365,url não disponível,win,1,1,0.83
31 Mai 2025 09:00,LCP,Team Secret Whales,TALON,under,total_barons 1.5,12.50%,1.11,1.25,BET365,url não disponível,win,1,1,0.25
3 Jun 2025 07:00,VCS,SN CyberCore Esports,Never Give Up,under,total_barons 1.5,13.65%,1.13,1.28,BET365,url não disponível,win,1,1,0.28
31 Mai 2025 09:00,LCP,Team Secret Whales,TALON,under,game_duration 31.5,10.34%,1.66,1.83,BET365,url não disponível,loss,1,1,-1.0
2 Jun 2025 06:00,LPL,Top Esports,Bilibili Gaming,under,game_duration 33.5,32.67%,1.38,1.83,BET365,url não disponível,win,1,1,0.83
2 Jun 2025 06:00,LPL,Top Esports,Bilibili Gaming,under,total_towers 12.5,12.05%,1.48,1.66,BET365,url não disponível,win,1,1,0.66
3 Jun 2025 06:00,LPL,Anyone's Legend,Weibo Gaming,over,total_barons 1.5,12.50%,3.33,3.75,BET365,url não disponível,loss,1,1,-1.0
3 Jun 2025 06:00,LPL,Anyone's Legend,Weibo Gaming,under,total_towers 12.5,10.92%,1.38,1.53,BET365,url não disponível,win,1,1,0.53
4 Jun 2025 05:00,LCK,Dplus KIA,KT Rolster,under,game_duration 32.5,32.67%,1.38,1.83,BET365,url não disponível,loss,1,1,-1.0
4 Jun 2025 05:00,LCK,Dplus KIA,KT Rolster,under,total_towers 12.5,14.75%,1.33,1.53,BET365,url não disponível,loss,1,1,-1.0
4 Jun 2025 06:00,LPL,FunPlus Phoenix,Invictus Gaming,under,total_kills 32.5,37.25%,1.33,1.83,BET365,url não disponível,win,1,1,0.83
5 Jun 2025 06:00,LPL,Team WE,JD Gaming,under,total_dragons 4.5,12.50%,1.6,1.8,BET365,url não disponível,win,1,1,0.8
6 Jun 2025 06:30,LCP,GAM Esports,Team Secret Whales,under,total_towers 12.5,20.33%,1.34,1.61,BET365,url não disponível,win,1,1,0.61
6 Jun 2025 06:30,LCP,GAM Esports,Team Secret Whales,under,total_inhibitors 1.5,18.42%,1.69,2.0,BET365,url não disponível,win,1,1,1.0
4 Jun 2025 07:00,VCS,SN CyberCore Esports,Saigon Secret,under,total_kills 35.5,20.26%,1.52,1.83,BET365,url não disponível,win,1,1,0.83
4 Jun 2025 07:00,VCS,SN CyberCore Esports,Saigon Secret,under,total_inhibitors 1.5,19.16%,1.39,1.66,BET365,url não disponível,loss,1,1,-1.0
7 Jun 2025 12:00,LEC,Movistar KOI,Karmine Corp,under,total_towers 12.5,14.38%,1.6,1.83,BET365,url não disponível,win,1,1,0.83
7 Jun 2025 12:00,LEC,Movistar KOI,Karmine Corp,under,total_barons 1.5,12.20%,1.21,1.36,BET365,url não disponível,win,1,1,0.36
7 Jun 2025 13:00,LTA S,Vivo Keyd Stars,Isurus Estral,under,total_inhibitors 1.5,41.90%,1.21,1.72,BET365,url não disponível,loss,1,1,-1.0
7 Jun 2025 13:00,LTA S,Vivo Keyd Stars,Isurus Estral,under,total_dragons 4.5,38.25%,1.52,2.1,BET365,url não disponível,loss,1,1,-1.0
6 Jun 2025 12:00,AL,Geekay Esports,NORD Esports,over,total_barons 1.5,24.49%,2.61,3.25,BET365,url não disponível,loss,1,1,-1.0
6 Jun 2025 12:00,AL,Geekay Esports,NORD Esports,over,total_towers 12.5,14.44%,1.66,1.9,BET365,url não disponível,win,1,1,0.9
6 Jun 2025 12:00,AL,GnG Amazigh,Misa Esports,under,total_inhibitors 1.5,20.58%,1.58,1.9,BET365,url não disponível,loss,1,1,-1.0
6 Jun 2025 12:00,LIT,Axolotl,Kaufland Hangry Knights,under,game_duration 31.5,23.53%,1.48,1.83,BET365,url não disponível,win,1,1,0.83
6 Jun 2025 12:00,LIT,Axolotl,Kaufland Hangry Knights,under,total_dragons 4.5,12.05%,1.48,1.66,BET365,url não disponível,win,1,1,0.66
6 Jun 2025 12:00,LIT,GMBLERS Esports,ZennIT,over,total_kills 28.5,30.60%,1.4,1.83,BET365,url não disponível,loss,1,1,-1.0
6 Jun 2025 12:00,LIT,GMBLERS Esports,ZennIT,under,game_duration 31.5,12.30%,1.63,1.83,BET365,url não disponível,win,1,1,0.83
6 Jun 2025 12:00,PRM,CGN Esports,eSuba,under,total_barons 1.5,27.35%,1.2,1.53,BET365,url não disponível,win,1,1,0.53
